date,id,team1,team2,score1,score2
2164601,2164601,NIP,x6tence,16,7
2165344,2165344,VeryGames,k1ck,16,3
2166054,2166054,NIP,k1ck,2,0
2166059,2166059,x6tence,VeryGames,0,2
2166338,2166338,NIP,VeryGames,2,0
2174466,2174466,mousesports,ALTERNATE aTTaX,2,0
2174997,2174997,mousesports,ALTERNATE aTTaX,16,7
2179323,2179323,ALTERNATE aTTaX,n!faculty,16,8
2186362,2186362,NIP,mousesports,16,5
2186370,2186370,VeryGames,n!faculty,16,4
2186372,2186372,VeryGames,ESC,16,2
2186373,2186373,n!faculty,ESC,16,11
2186479,2186479,NIP,n!faculty,2,0
2186484,2186484,NIP,VeryGames,2,0
2188361,2188361,3DMAX,Tricked,16,8
2188849,2188849,CPH Wolves,3DMAX,2,1
2189106,2189106,k1ck,3DMAX,0,2
2189384,2189384,mousesports,3DMAX,1,2
2189464,2189464,ESC,ALTERNATE aTTaX,16,11
2191831,2191831,NIP,ESC,16,2
2191972,2191972,CPH Wolves,mousesports,16,9
2192089,2192089,ESC,CPH Wolves,15,15
2192437,2192437,NIP,VeryGames,16,6
2192667,2192667,NIP,fnatic,16,6
2192668,2192668,mousesports,ESC,16,6
2192669,2192669,NIP,mousesports,16,14
2192670,2192670,fnatic,ESC,16,7
2192671,2192671,NIP,ESC,16,10
2192672,2192672,mousesports,fnatic,16,14
2193132,2193132,VeryGames,3DMAX,16,3
2193160,2193160,CPH Wolves,mousesports,0,2
2193165,2193165,NIP,mousesports,2,0
2193173,2193173,NIP,VeryGames,2,0
2194085,2194085,Virtus.pro,mousesports,16,8
2194092,2194092,ALTERNATE aTTaX,CPH Wolves,16,13
2194093,2194093,Virtus.pro,Natus Vincere,16,3
2194474,2194474,ESC,mousesports,16,9
2194479,2194479,Virtus.pro,ESC,16,14
2194481,2194481,CPH Wolves,Virtus.pro,16,12
2194894,2194894,Virtus.pro,ALTERNATE aTTaX,16,8
2195619,2195619,NIP,ESC,16,12
2195872,2195872,VeryGames,k1ck,16,8
2196335,2196335,ESC,VeryGames,0,2
2196744,2196744,NIP,VeryGames,2,0
2196837,2196837,3DMAX,ALTERNATE aTTaX,16,3
2197223,2197223,Natus Vincere,ALTERNATE aTTaX,16,7
2197271,2197271,n!faculty,ALTERNATE aTTaX,16,11
2197272,2197272,mousesports,fnatic,16,11
2197512,2197512,CPH Wolves,Natus Vincere,16,9
2197582,2197582,ESC,Natus Vincere,16,8
2198210,2198210,mousesports,n!faculty,0,2
2198230,2198230,mousesports,Natus Vincere,16,9
