date,id,team_won,team_lost,score_won,score_lost
2022-12-16 00:00:00,2360643,G2,2,1,Vitality
2022-12-16 00:00:00,2360642,Liquid,2,1,Natus Vincere
2022-12-15 00:00:00,2360641,OG,2,0,Vitality
2022-12-15 00:00:00,2360640,Natus Vincere,2,1,Heroic
2022-12-15 00:00:00,2360639,FaZe,2,1,Liquid
2022-12-15 00:00:00,2360638,G2,2,0,Outsiders
2022-12-14 00:00:00,2360637,Vitality,2,0,Natus Vincere
2022-12-14 00:00:00,2360636,OG,2,1,Heroic
2022-12-14 00:00:00,2360635,FaZe,2,1,G2
2022-12-14 00:00:00,2360634,Liquid,2,1,Outsiders
2022-12-12 00:00:00,2360627,Spirit,2,1,Sprout
2022-11-27 00:00:00,2360059,Heroic,2,1,FaZe
2022-11-27 00:00:00,2360058,FaZe,2,1,Ninjas in Pyjamas
2022-11-26 00:00:00,2360057,Heroic,2,1,Liquid
2022-11-26 00:00:00,2360056,Ninjas in Pyjamas,2,1,Natus Vincere
2022-11-25 00:00:00,2360055,Heroic,2,1,G2
2022-11-24 00:00:00,2360054,Liquid,2,1,Natus Vincere
2022-11-24 00:00:00,2360052,FaZe,2,0,Heroic
2022-11-24 00:00:00,2360051,Ninjas in Pyjamas,2,0,OG
2022-11-23 00:00:00,2360050,Liquid,2,0,G2
2022-11-23 00:00:00,2360048,Heroic,2,1,Ninjas in Pyjamas
2022-11-23 00:00:00,2360047,FaZe,2,0,OG
2022-11-20 00:00:00,2360101,fnatic,2,0,BIG
2022-11-19 00:00:00,2360100,fnatic,2,0,Astralis
2022-11-18 00:00:00,2360098,Astralis,2,1,ENCE
2022-11-17 00:00:00,2360095,fnatic,16,12,Bad News Eagles
2022-11-17 00:00:00,2360091,fnatic,16,7,Astralis
2022-11-17 00:00:00,2360086,Astralis,19,16,Bad News Eagles
2022-11-16 00:00:00,2360080,ENCE,16,9,BIG
2022-11-13 00:00:00,2359846,Outsiders,2,0,Heroic
2022-11-13 00:00:00,2359845,Heroic,2,1,FURIA
2022-11-12 00:00:00,2359844,Outsiders,2,1,MOUZ
2022-11-12 00:00:00,2359843,FURIA,2,1,Natus Vincere
2022-11-11 00:00:00,2359842,Heroic,2,0,Spirit
2022-11-11 00:00:00,2359841,MOUZ,2,1,Cloud9
2022-11-10 00:00:00,2359840,Outsiders,2,0,fnatic
2022-11-09 00:00:00,2359839,Spirit,2,1,Liquid
2022-11-08 00:00:00,2359838,Natus Vincere,2,0,BIG
2022-11-08 00:00:00,2359837,MOUZ,2,1,ENCE
2022-11-08 00:00:00,2359835,Heroic,2,1,Liquid
2022-11-07 00:00:00,2359833,ENCE,2,0,Vitality
2022-11-07 00:00:00,2359834,fnatic,2,0,BIG
2022-11-07 00:00:00,2359832,Outsiders,2,0,MOUZ
2022-11-06 00:00:00,2359829,FURIA,2,0,BIG
2022-11-06 00:00:00,2359827,Cloud9,2,0,Heroic
2022-11-06 00:00:00,2359825,Outsiders,16,14,Spirit
2022-11-06 00:00:00,2359826,fnatic,16,7,ENCE
2022-11-06 00:00:00,2359824,MOUZ,19,17,Vitality
2022-11-06 00:00:00,2359823,Liquid,16,14,Natus Vincere
